# Command: vsel -p precipitation vols.out
# this is precipitation
65.000000	0.020000
66.000000	0.000000
67.000000	0.140000
68.000000	0.960000
69.000000	0.000000
70.000000	0.000000
71.000000	0.000000
72.000000	0.020000
73.000000	0.000000
74.000000	0.000000
75.000000	0.000000
76.000000	0.200000
77.000000	0.720000
78.000000	2.160000
79.000000	0.480000
80.000000	0.180000
81.000000	0.000000
82.000000	0.000000
83.000000	0.000000
84.000000	0.000000
85.000000	0.000000
86.000000	0.000000
87.000000	0.000000
88.000000	0.120000
89.000000	0.040000
90.000000	0.000000
91.000000	0.200000
92.000000	0.000000
93.000000	0.000000
94.000000	0.000000
95.000000	0.000000
96.000000	0.000000
97.000000	0.000000
98.000000	0.000000
99.000000	0.000000
100.000000	0.000000
101.000000	0.200000
102.000000	1.160000
103.000000	0.060000
104.000000	0.000000
105.000000	0.520000
106.000000	0.040000
107.000000	0.080000
108.000000	0.080000
109.000000	0.000000
110.000000	0.000000
111.000000	0.100000
112.000000	0.200000
113.000000	0.140000
114.000000	0.020000
115.000000	0.320000
116.000000	0.000000
117.000000	0.060000
118.000000	0.140000
119.000000	0.120000
120.000000	0.000000
121.000000	0.000000
122.000000	0.340000
123.000000	0.000000
124.000000	0.000000
125.000000	0.180000
126.000000	0.000000
127.000000	0.000000
128.000000	0.000000
129.000000	0.000000
130.000000	0.020000
131.000000	0.000000
132.000000	0.000000
133.000000	0.400000
134.000000	0.040000
135.000000	0.080000
136.000000	0.860000
137.000000	0.000000
138.000000	0.000000
139.000000	0.860000
140.000000	0.640000
141.000000	0.000000
142.000000	0.000000
143.000000	0.000000
144.000000	0.000000
145.000000	0.000000
146.000000	0.000000
147.000000	0.000000
148.000000	0.000000
149.000000	0.000000
150.000000	0.060000
151.000000	0.000000
152.000000	0.000000
153.000000	0.000000
154.000000	0.000000
155.000000	0.120000
156.000000	0.000000
157.000000	0.180000
158.000000	1.200000
159.000000	0.260000
160.000000	1.160000
161.000000	0.000000
162.000000	0.000000
163.000000	0.180000
164.000000	0.000000
165.000000	0.000000
166.000000	0.060000
167.000000	0.020000
168.000000	0.000000
169.000000	0.000000
170.000000	0.000000
171.000000	0.000000
172.000000	0.000000
173.000000	1.880000
174.000000	0.100000
175.000000	1.000000
176.000000	1.480000
177.000000	0.000000
178.000000	0.000000
179.000000	0.380000
180.000000	0.280000
181.000000	3.660000
182.000000	0.080000
183.000000	0.100000
184.000000	1.040000
185.000000	0.020000
186.000000	0.220000
187.000000	0.000000
188.000000	0.080000
189.000000	0.000000
190.000000	0.000000
191.000000	0.020000
192.000000	0.700000
193.000000	1.260000
194.000000	0.000000
195.000000	1.060000
196.000000	0.000000
197.000000	0.580000
198.000000	0.000000
199.000000	0.000000
200.000000	4.680000
201.000000	0.260000
202.000000	0.000000
203.000000	0.340000
204.000000	0.920000
205.000000	0.000000
206.000000	0.580000
207.000000	0.040000
208.000000	0.000000
209.000000	0.500000
210.000000	1.000000
